>> cd ../jacobi_poisson_1d
>> jacobi_poisson_1d
22-Nov-2011 13:09:57

JACOBI_POISSON_1D:
  Use Jacobi iteration for the 1D Poisson equation.
  Enter K >= 0, the grid index, so that NK = 2^K + 1:  5

    Step    Residual      Change
     915     0.03586   1.759e-05
     916     0.03569   1.751e-05
     917     0.03552   1.743e-05
     918     0.03535   1.734e-05
     919     0.03517   1.726e-05
     920     0.03501   1.718e-05
     921     0.03484   1.709e-05
     922     0.03467   1.701e-05
     923      0.0345   1.693e-05
     924     0.03434   1.685e-05
     925     0.03417   1.677e-05
     926     0.03401   1.668e-05
     927     0.03384    1.66e-05
     928     0.03368   1.652e-05
     929     0.03352   1.645e-05
     930     0.03336   1.637e-05
     931      0.0332   1.629e-05
     932     0.03304   1.621e-05
     933     0.03288   1.613e-05
     934     0.03272   1.605e-05
     935     0.03256   1.598e-05
     936      0.0324    1.59e-05
     937     0.03225   1.582e-05
     938     0.03209   1.575e-05
